tenure_months,monthly_charges,total_charges,country,plan_type,support_calls,signup_date,churn
53,137.99,7325.82,C19,standard,0,2020-08-20,0
34,45.48,1558.2,C25,premium,0,2021-07-19,0
5,71.93,405.55,C15,basic,3,2023-03-23,1
54,59.12,3143.73,C17,basic,3,2024-09-07,0
35,44.37,1566.71,C03,standard,0,2023-10-15,0
45,125.3,5636.45,C08,basic,0,2022-11-17,0
56,54.19,3082.64,C27,basic,1,2023-11-10,0
39,68.46,2595.67,C22,standard,2,2024-10-18,0
7,122.4,920.69,C09,standard,0,2022-07-18,0
53,114.42,6063.85,C17,basic,0,2025-03-05,0
16,36.58,580.27,C23,basic,3,2020-11-12,0
2,115.07,165.97,C01,premium,1,2020-11-20,0
23,149.62,3427.86,C27,basic,0,2020-12-17,0
33,53.59,1780.11,C08,basic,0,2024-02-24,0
26,34.0,867.26,C06,basic,0,2022-04-04,0
19,39.53,756.61,C27,standard,1,2025-07-09,0
2,44.85,27.42,C29,standard,1,2025-08-30,0
24,132.49,3174.94,C05,standard,2,2021-08-19,0
29,94.07,2676.79,C26,standard,2,2021-09-14,0
7,28.57,101.62,C16,standard,1,2023-05-24,0
37,27.65,948.81,C16,basic,0,2021-12-21,0
62,119.94,7417.83,C14,basic,2,2020-06-20,0
24,139.5,3362.3,C21,basic,2,2021-08-10,0
62,116.72,7236.57,C17,premium,1,2023-09-11,0
19,39.51,815.8,C08,basic,1,2023-05-05,0
16,102.3,1650.4,C03,standard,1,2023-02-09,0
11,132.16,1453.77,C21,basic,1,2023-01-03,0
56,135.28,7546.74,C10,standard,2,2026-02-17,0
56,113.26,6366.79,C12,premium,0,2021-10-01,0
7,92.86,643.15,C29,enterprise,1,2021-03-17,0
53,26.45,1303.71,C09,basic,0,2022-07-31,0
35,144.87,5064.28,C02,basic,1,2023-01-22,0
61,143.62,8756.71,C20,enterprise,0,2021-09-05,0
11,91.65,998.89,C24,standard,3,2022-02-27,0
17,69.01,1309.41,C11,premium,1,2026-04-01,0
38,69.74,2679.12,C26,premium,3,2026-03-20,0
40,54.56,2222.96,C21,basic,2,2023-08-02,0
2,112.53,254.99,C06,standard,1,2025-03-21,0
47,68.58,3198.31,C25,basic,2,2022-05-12,0
6,37.19,233.71,C15,basic,1,2025-10-12,0
34,64.69,2210.96,C08,standard,0,2022-05-06,0
38,101.41,3866.32,C20,premium,1,2024-09-14,0
41,122.31,4976.07,C06,basic,2,2022-05-05,0
63,72.99,4613.24,C10,basic,0,2022-12-04,0
29,79.83,2296.99,C09,standard,1,2021-02-26,0
34,96.79,3228.04,C06,basic,0,2022-08-16,0
6,52.13,258.7,C12,standard,0,2024-03-01,0
8,98.97,768.72,C29,standard,2,2021-02-17,0
61,52.99,3226.15,C21,standard,0,2020-09-07,0
51,105.73,5323.56,C19,premium,0,2020-12-12,0
47,125.54,5818.1,C13,basic,1,2021-05-14,0
2,63.88,74.29,C19,standard,0,2021-03-24,0
21,138.86,2885.38,C20,premium,2,2022-10-11,0
37,147.61,5535.19,C05,standard,0,2020-10-25,0
8,100.17,822.36,C29,premium,1,2023-01-22,0
49,28.35,1272.01,C04,premium,2,2022-10-19,0
53,78.7,4140.38,C07,basic,3,2022-08-12,0
53,73.33,3889.59,C11,standard,1,2020-08-23,0
29,87.89,2598.04,C22,standard,2,2021-02-28,0
69,46.56,3203.76,C04,basic,2,2020-11-23,0
22,134.03,3035.32,C14,basic,1,2023-08-09,0
42,36.74,1504.41,C27,premium,1,2024-03-24,0
42,90.06,3884.06,C12,basic,1,2024-07-30,0
31,125.13,3858.66,C26,enterprise,1,2024-05-01,0
30,48.15,1438.6,C18,premium,1,2022-06-18,0
68,58.21,3975.38,C24,basic,2,2024-04-24,0
44,109.14,4773.27,C03,standard,3,2020-07-05,0
67,75.55,5004.92,C11,premium,0,2026-04-29,0
70,103.44,7260.81,C09,basic,1,2023-09-24,0
68,64.67,4407.35,C12,standard,1,2021-08-28,0
13,140.86,1909.17,C08,basic,3,2023-06-17,0
31,141.88,4441.09,C11,premium,3,2025-04-11,0
70,47.56,3297.3,C18,basic,3,2021-07-22,0
9,96.52,895.89,C14,basic,1,2022-11-20,0
49,108.52,5275.07,C06,basic,0,2024-06-21,0
12,33.41,316.26,C07,standard,0,2021-11-26,0
21,71.94,1495.64,C01,premium,1,2024-04-04,0
26,140.44,3618.42,C00,standard,0,2021-11-18,0
65,104.86,6776.92,C01,basic,2,2023-12-26,0
34,93.24,3213.93,C08,standard,5,2024-07-14,0
49,126.66,6199.08,C23,basic,0,2023-12-04,0
13,61.74,750.48,C28,basic,1,2022-04-18,0
7,118.09,796.07,C20,premium,0,2024-12-13,1
63,51.09,3225.36,C05,basic,1,2021-09-27,0
70,80.83,5547.54,C25,enterprise,2,2023-11-25,1
60,141.33,8497.39,C04,basic,1,2021-08-23,0
64,47.41,3039.08,C20,basic,4,2021-02-28,0
14,119.92,1696.13,C03,basic,2,2021-08-10,0
59,53.11,3193.64,C01,premium,0,2022-12-05,0
17,110.17,1930.93,C10,premium,1,2024-02-03,0
59,79.34,4652.0,C21,premium,0,2023-04-04,0
56,62.21,3533.82,C18,basic,2,2021-01-20,0
26,33.11,864.93,C16,premium,0,2024-11-20,0
32,102.49,3214.56,C04,basic,2,2024-04-16,0
10,78.12,774.1,C28,basic,0,2023-05-25,0
70,20.06,1390.28,C25,standard,0,2025-07-16,0
49,35.25,1745.54,C06,basic,0,2026-01-25,0
53,55.83,2913.09,C24,basic,1,2021-08-25,0
48,76.85,3641.47,C02,standard,2,2023-10-17,0
37,36.79,1371.69,C05,basic,2,2026-03-02,0
15,74.78,1080.12,C24,basic,0,2024-05-16,0
23,69.59,1572.25,C22,premium,0,2021-05-16,0
36,122.91,4385.38,C12,standard,1,2020-09-01,0
20,125.43,2521.04,C10,basic,0,2022-02-16,0
36,81.86,2952.17,C14,premium,0,2021-11-12,0
42,88.07,3671.59,C23,basic,1,2026-02-12,0
55,40.51,2078.79,C21,premium,0,2026-04-17,0
29,46.14,1366.44,C16,standard,1,2023-04-22,0
33,97.41,3161.91,C05,basic,5,2021-11-05,0
67,103.15,6911.39,C02,premium,2,2025-06-02,0
56,78.8,4381.98,C13,basic,1,2021-08-20,0
55,37.77,1979.5,C16,standard,0,2025-12-26,0
34,75.77,2596.24,C24,standard,2,2020-09-03,0
4,117.21,436.07,C16,standard,0,2025-12-15,0
55,118.35,6498.27,C17,premium,2,2023-05-30,0
55,51.64,2839.2,C06,basic,2,2022-12-29,0
2,84.05,277.31,C27,basic,1,2021-08-11,0
29,43.13,1219.1,C09,basic,2,2023-09-01,0
70,36.66,2543.84,C25,standard,1,2025-03-20,0
59,70.06,4093.64,C20,basic,2,2023-06-03,0
12,114.11,1347.67,C08,standard,1,2022-12-16,0
6,96.85,588.48,C15,basic,0,2025-03-10,0
9,59.89,519.19,C23,basic,1,2025-05-23,0
68,134.67,9159.24,C03,basic,0,2021-03-17,0
49,138.39,6772.86,C19,basic,2,2024-02-17,0
23,90.28,2064.13,C08,premium,0,2025-02-01,0
36,96.55,3460.98,C03,standard,0,2024-10-27,0
52,85.01,4538.01,C14,basic,2,2020-06-16,0
28,91.58,2518.51,C07,standard,1,2021-04-27,0
1,73.18,68.99,C03,premium,1,2025-06-21,0
43,48.26,2021.7,C22,standard,1,2025-02-04,0
52,117.15,6119.67,C21,basic,0,2021-02-05,0
2,87.02,202.27,C25,standard,0,2021-01-10,0
34,149.11,5057.72,C19,enterprise,0,2024-05-09,0
30,85.26,2503.82,C04,standard,1,2022-03-09,0
12,29.97,391.12,C22,basic,1,2020-11-11,0
71,85.16,6104.2,C21,premium,2,2024-11-03,0
2,128.73,171.97,C11,standard,4,2025-08-19,0
51,145.96,7400.05,C09,standard,2,2024-02-18,0
26,71.9,1858.3,C27,basic,0,2020-09-24,0
32,118.98,3800.66,C05,standard,0,2022-07-17,0
38,144.91,5503.7,C03,standard,1,2025-07-26,0
37,137.05,5100.01,C02,premium,2,2023-06-23,0
49,135.32,6610.64,C29,basic,0,2025-11-29,0
71,111.02,7876.19,C02,basic,0,2024-03-24,0
37,123.88,4613.89,C09,basic,2,2020-06-05,0
63,96.09,6035.36,C13,basic,2,2026-05-11,0
34,101.69,3528.27,C24,basic,1,2025-03-07,0
28,98.33,2760.62,C03,basic,1,2021-09-21,0
48,125.35,6067.69,C10,basic,0,2020-10-29,0
50,138.01,6917.18,C18,premium,3,2022-06-19,0
19,46.18,919.48,C19,basic,0,2026-04-19,0
46,146.05,6725.27,C24,basic,0,2024-03-29,0
17,137.79,2355.73,C01,premium,2,2022-01-27,1
10,48.62,514.89,C12,premium,1,2021-03-02,0
13,102.0,1310.83,C26,basic,0,2025-11-15,0
65,55.6,3699.57,C18,standard,2,2022-02-21,0
42,25.34,1038.16,C27,basic,3,2022-06-02,0
13,133.74,1807.15,C25,enterprise,1,2023-09-21,0
35,74.12,2585.78,C28,enterprise,0,2023-04-18,0
19,103.15,2013.88,C24,basic,1,2023-12-07,0
12,96.98,1197.71,C15,basic,1,2024-01-30,0
17,129.06,2266.14,C09,premium,3,2025-11-12,0
10,24.22,398.4,C11,basic,1,2020-11-29,0
52,39.45,2186.84,C16,basic,2,2021-11-05,0
30,39.39,1173.43,C24,premium,0,2022-11-11,0
4,85.38,357.49,C14,premium,0,2025-09-22,0
12,89.57,1048.87,C15,premium,0,2023-07-12,0
4,88.48,375.72,C03,basic,2,2025-07-31,0
37,120.02,4389.9,C19,enterprise,2,2020-11-12,0
21,130.03,2761.29,C05,standard,0,2024-02-13,0
63,91.41,5697.19,C14,basic,0,2022-06-07,0
41,130.26,5425.83,C02,basic,2,2021-09-02,0
32,133.02,4247.39,C17,basic,0,2021-04-24,0
28,24.61,636.36,C06,basic,0,2020-06-16,0
45,109.49,4909.17,C20,premium,1,2023-02-15,0
2,120.5,254.05,C28,premium,2,2021-01-09,0
68,130.81,8844.92,C01,premium,2,2021-04-28,0
8,55.32,529.63,C27,enterprise,2,2022-06-16,0
56,100.14,5634.04,C08,standard,2,2024-04-04,0
9,88.33,772.28,C24,basic,3,2020-09-30,0
34,89.27,2977.46,C22,basic,3,2023-02-25,0
4,148.96,610.87,C25,basic,2,2021-06-10,0
62,120.38,7487.96,C19,standard,0,2021-03-24,0
21,145.65,3099.45,C27,standard,1,2023-08-23,0
66,67.38,4445.23,C00,premium,4,2024-06-13,0
3,41.46,83.74,C05,basic,2,2024-09-15,0
50,57.76,2932.17,C02,basic,1,2025-09-05,0
6,139.17,831.2,C17,basic,0,2022-12-21,0
67,122.89,8187.13,C01,premium,1,2024-03-21,0
30,129.69,3892.97,C11,standard,2,2023-04-01,0
43,43.64,1868.77,C09,basic,2,2020-10-11,0
41,80.03,3259.71,C05,premium,0,2026-02-24,0
71,108.61,7748.08,C21,standard,1,2022-02-20,0
69,138.58,9432.04,C04,standard,0,2025-09-18,0
47,39.05,1873.88,C15,premium,1,2020-09-22,0
43,25.6,1079.53,C26,basic,1,2025-09-06,0
9,99.09,865.5,C29,premium,2,2021-04-23,0
50,105.54,5257.09,C19,enterprise,0,2023-02-20,1
16,59.08,959.95,C28,basic,1,2021-12-06,0
57,59.32,3319.55,C21,standard,1,2021-06-18,0
63,31.0,1947.01,C23,basic,1,2023-12-20,0
10,130.32,1351.73,C26,basic,0,2025-03-08,0
42,99.71,4225.73,C19,standard,1,2020-11-05,0
31,141.1,4320.16,C05,premium,0,2020-09-19,0
67,107.8,7180.89,C22,basic,0,2025-07-15,0
23,53.18,1148.64,C29,basic,1,2022-02-07,0
53,39.2,2005.47,C13,standard,1,2023-02-13,0
19,99.21,1925.86,C14,basic,0,2025-11-22,0
52,115.39,6045.97,C14,basic,1,2024-03-08,0
7,69.28,422.19,C10,standard,2,2023-08-09,0
36,111.58,4110.26,C07,premium,2,2022-05-10,0
44,103.11,4603.44,C28,basic,1,2023-03-22,0
71,22.98,1660.78,C11,basic,2,2022-12-26,0
33,149.3,4905.42,C07,basic,1,2024-08-10,0
16,146.38,2315.6,C18,premium,0,2022-04-04,0
28,72.62,2073.58,C25,premium,4,2021-04-15,0
7,60.27,448.66,C08,basic,1,2025-06-17,0
68,99.74,6708.36,C04,basic,0,2026-04-16,0
10,23.22,243.66,C21,basic,1,2024-08-22,0
36,83.84,3028.55,C18,premium,2,2023-12-27,0
7,91.32,708.56,C10,basic,0,2025-05-24,1
33,130.24,4255.23,C18,basic,0,2021-11-09,0
54,125.85,6779.21,C26,premium,0,2020-12-07,0
65,96.83,6284.36,C09,standard,3,2024-11-27,0
43,38.69,1654.24,C10,standard,0,2021-08-21,0
67,57.65,3832.62,C18,premium,0,2025-09-06,0
47,63.62,3057.56,C14,standard,2,2025-07-01,0
14,31.95,403.69,C28,standard,0,2023-04-11,0
37,64.57,2362.94,C04,basic,2,2023-06-10,0
17,38.07,598.41,C11,basic,2,2026-01-13,0
58,62.75,3625.51,C21,standard,2,2020-08-28,0
33,37.15,1278.06,C03,standard,1,2021-06-15,0
63,79.37,5009.23,C22,standard,0,2026-03-09,0
26,107.73,2837.92,C13,basic,0,2023-03-19,0
34,112.13,3841.75,C12,basic,6,2026-02-18,0
2,141.09,273.04,C03,premium,0,2021-06-05,0
23,120.77,2687.19,C06,premium,0,2021-08-15,0
60,48.65,2928.43,C19,basic,0,2024-03-19,0
36,102.28,3679.85,C00,basic,1,2022-09-07,0
51,130.0,6617.21,C22,basic,0,2024-10-06,0
58,65.79,3792.77,C16,standard,1,2025-07-10,0
36,88.72,3182.55,C01,basic,1,2020-06-10,0
49,30.32,1449.81,C24,standard,0,2025-12-26,0
42,100.04,4161.87,C24,basic,2,2021-03-02,0
17,39.78,644.01,C07,basic,2,2025-11-05,0
15,127.72,1926.5,C20,basic,0,2023-03-23,0
6,90.32,626.79,C01,standard,1,2022-04-27,0
41,61.31,2544.77,C13,standard,2,2021-10-20,0
25,67.82,1600.73,C16,premium,0,2020-12-06,0
19,29.98,576.92,C00,basic,2,2021-02-08,0
39,25.3,1013.21,C17,basic,0,2021-06-05,0
66,38.27,2568.41,C05,standard,0,2022-09-20,0
3,34.86,76.32,C02,premium,1,2022-09-22,0
16,135.03,2082.98,C13,basic,1,2025-05-13,0
52,87.94,4615.43,C05,basic,2,2023-06-02,0
25,60.31,1486.07,C24,standard,3,2025-11-04,0
23,57.22,1409.54,C29,premium,0,2024-05-24,0
51,25.75,1256.16,C01,premium,3,2021-12-14,0
44,98.84,4449.36,C21,basic,0,2025-01-30,0
18,120.12,2103.45,C20,basic,4,2025-01-26,0
36,148.72,5451.91,C29,basic,0,2022-05-01,0
62,86.6,5381.64,C00,basic,0,2021-02-11,0
9,30.3,323.56,C29,basic,1,2021-04-25,0
20,71.06,1453.58,C15,basic,1,2024-12-01,0
53,147.52,7876.96,C23,basic,2,2021-08-08,0
60,51.22,3094.32,C08,basic,2,2022-12-26,0
62,44.5,2806.01,C23,standard,2,2023-09-30,0
68,135.69,9174.42,C23,premium,1,2022-01-18,0
43,135.54,5828.74,C12,standard,0,2026-04-19,0
13,66.69,809.74,C04,standard,2,2023-08-20,0
58,144.86,8403.62,C08,premium,0,2021-10-18,0
35,112.37,3949.42,C25,basic,1,2023-10-28,0
60,99.25,5955.5,C17,standard,4,2025-04-10,0
11,106.61,1232.07,C22,standard,2,2021-11-23,0
24,28.08,721.19,C22,basic,4,2022-09-30,0
9,140.15,1298.48,C29,premium,2,2020-10-24,0
60,60.59,3689.36,C27,basic,1,2024-11-10,0
5,76.86,464.3,C16,basic,0,2024-06-07,0
8,89.25,680.38,C20,basic,1,2025-04-17,0
53,54.01,2849.44,C06,premium,0,2021-06-02,0
24,41.63,1007.44,C17,basic,1,2024-12-02,0
20,129.43,2545.68,C22,premium,2,2025-10-18,0
2,117.26,214.59,C24,premium,2,2021-03-26,0
28,139.71,3839.28,C16,premium,2,2024-11-27,0
52,55.68,2839.65,C22,standard,2,2024-11-04,0
30,145.57,4438.98,C00,basic,0,2026-05-01,0
65,120.06,7795.02,C04,basic,0,2023-01-10,0
39,119.51,4568.69,C05,basic,3,2021-12-26,0
53,114.19,6067.42,C24,standard,1,2025-08-06,0
28,31.48,864.76,C07,premium,2,2024-08-27,0
24,129.67,3017.32,C06,premium,0,2024-07-12,0
61,48.09,2897.01,C20,basic,3,2022-10-26,0
67,76.95,5142.23,C08,basic,0,2023-10-22,0
46,92.5,4267.46,C26,basic,1,2025-10-11,0
66,144.78,9526.5,C14,basic,1,2021-12-23,0
12,20.17,299.46,C05,basic,0,2022-12-09,0
11,32.83,350.67,C19,basic,2,2023-01-22,0
15,87.55,1431.76,C13,premium,1,2025-07-14,0
46,51.72,2429.5,C23,enterprise,1,2023-05-06,0
29,130.5,3860.91,C18,basic,5,2023-03-24,0
47,117.74,5600.98,C25,basic,2,2023-10-31,0
34,105.0,3510.9,C25,premium,2,2020-07-31,0
33,143.36,4797.04,C10,basic,2,2024-12-09,0
33,131.25,4466.2,C26,premium,0,2022-03-27,0
34,101.67,3546.86,C24,basic,2,2024-08-15,0
57,32.77,1888.86,C14,basic,1,2024-12-08,0
50,38.02,1851.96,C18,premium,1,2022-03-29,0
28,95.6,2736.57,C05,basic,0,2022-06-14,0
29,26.76,755.44,C26,basic,2,2024-01-18,0
57,142.56,8142.01,C05,basic,0,2023-09-19,0
26,130.25,3435.09,C10,basic,2,2020-06-10,0
5,58.51,353.61,C19,basic,3,2024-10-20,0
8,136.16,1051.3,C04,standard,2,2021-05-16,0
6,100.58,654.7,C15,standard,2,2022-12-13,0
33,88.93,2963.81,C22,basic,0,2021-04-05,0
63,97.06,6103.73,C01,basic,1,2023-06-11,0
38,147.14,5578.62,C03,standard,1,2024-11-21,0
32,86.56,2792.43,C28,basic,0,2025-07-16,0
51,22.49,1235.37,C26,premium,2,2021-04-09,0
5,81.05,389.23,C19,basic,5,2023-08-30,0
15,40.8,660.47,C01,standard,2,2024-05-17,0
9,132.95,1158.15,C24,basic,1,2022-02-08,0
12,132.2,1562.95,C27,enterprise,1,2022-01-22,0
13,21.66,282.48,C11,standard,1,2021-11-25,0
30,105.81,3170.8,C14,premium,3,2023-05-30,0
41,55.86,2285.74,C14,basic,1,2021-06-13,0
39,144.64,5605.67,C07,premium,1,2022-12-05,0
41,43.62,1759.05,C10,basic,0,2020-12-14,0
16,42.12,654.63,C07,basic,0,2022-08-13,0
28,124.23,3513.12,C05,standard,1,2024-09-19,0
10,146.3,1482.14,C02,standard,3,2024-03-05,0
9,68.16,653.73,C27,premium,0,2022-04-29,0
8,122.7,1040.26,C28,basic,1,2020-08-10,0
2,30.76,59.62,C26,basic,0,2022-02-15,0
4,83.63,303.3,C17,basic,1,2023-06-30,0
65,119.4,7725.39,C16,standard,1,2024-02-02,0
14,102.28,1514.43,C17,standard,1,2022-02-17,0
32,101.6,3296.48,C10,standard,0,2021-03-17,0
33,130.71,4391.04,C09,enterprise,1,2021-09-16,0
42,26.82,1185.95,C08,standard,3,2021-04-03,0
63,33.34,2095.55,C24,standard,1,2023-05-24,0
50,113.97,5725.97,C03,basic,0,2023-08-24,0
42,64.0,2696.13,C06,premium,0,2026-02-25,0
31,22.85,820.58,C21,basic,2,2025-11-28,0
60,61.67,3731.01,C18,enterprise,1,2024-07-04,0
23,95.38,2275.27,C01,premium,0,2025-12-29,0
2,117.54,243.66,C23,premium,0,2020-09-21,0
40,60.19,2475.85,C18,basic,0,2020-12-09,0
55,50.75,2806.92,C20,premium,1,2022-03-03,0
58,137.74,7960.64,C22,standard,2,2025-11-29,0
2,29.07,126.98,C15,standard,2,2023-07-31,0
68,128.11,8679.69,C00,basic,1,2022-12-08,0
37,25.01,914.62,C09,premium,2,2020-09-20,0
25,144.15,3645.74,C18,premium,0,2024-08-09,0
10,145.46,1477.86,C01,standard,2,2025-11-09,0
36,109.82,3936.64,C18,basic,5,2023-05-07,0
52,146.47,7622.57,C04,basic,0,2020-12-10,0
39,38.9,1586.5,C02,standard,1,2026-05-20,0
36,83.07,2958.66,C15,basic,0,2022-05-24,0
49,134.92,6487.26,C21,standard,0,2026-02-08,0
23,138.46,3240.15,C08,standard,1,2023-09-06,0
56,28.29,1561.35,C06,basic,2,2021-03-09,0
20,137.1,2729.33,C08,standard,2,2024-06-16,0
21,126.95,2707.27,C13,standard,2,2025-02-01,0
28,99.59,2768.91,C20,standard,0,2026-02-06,0
54,71.66,3860.92,C07,basic,1,2026-03-07,0
37,122.79,4602.06,C02,basic,0,2023-10-25,0
30,48.32,1484.18,C03,standard,0,2025-09-15,0
67,122.11,8181.19,C07,standard,2,2020-11-24,0
12,32.46,350.24,C23,basic,3,2020-06-02,0
62,26.25,1581.46,C24,basic,1,2024-10-04,0
32,109.44,3550.2,C20,premium,1,2020-08-10,0
8,122.27,1008.85,C08,basic,1,2020-11-18,0
54,145.56,7814.43,C23,basic,2,2022-10-26,0
11,59.02,663.39,C22,standard,5,2022-08-18,0
38,136.37,5078.64,C13,premium,1,2025-04-19,0
25,25.79,679.18,C18,basic,2,2026-05-08,0
34,110.24,3763.4,C08,basic,2,2024-12-14,0
25,120.71,2982.2,C27,standard,1,2023-03-23,0
2,70.04,197.2,C20,standard,2,2024-11-07,0
45,73.65,3333.75,C27,premium,1,2021-01-30,0
60,89.47,5352.02,C10,basic,1,2025-09-16,0
66,29.41,1924.52,C06,standard,1,2021-04-23,0
37,134.91,4977.31,C20,enterprise,1,2025-04-22,0
6,38.57,272.8,C14,standard,1,2024-12-24,0
22,119.97,2670.48,C04,basic,1,2023-10-07,0
4,129.19,494.74,C12,basic,4,2023-05-31,1
59,100.06,5842.76,C10,basic,0,2024-05-09,0
18,149.32,2676.43,C21,basic,0,2023-11-13,0
27,105.55,2867.87,C25,basic,2,2020-12-13,0
15,139.09,2044.88,C00,premium,2,2022-07-06,0
57,118.47,6713.35,C07,basic,0,2025-10-19,0
19,130.91,2478.0,C13,premium,1,2023-04-23,0
2,74.56,163.78,C06,basic,0,2022-08-22,0
68,102.53,7002.97,C08,basic,0,2021-03-01,0
64,68.13,4413.0,C11,basic,1,2020-12-07,0
54,111.46,5926.59,C05,basic,0,2023-12-26,0
25,25.64,691.17,C11,standard,1,2022-02-24,0
13,55.75,742.13,C10,premium,1,2023-05-04,0
51,142.38,7233.11,C03,premium,3,2023-06-05,0
45,119.8,5431.09,C20,standard,2,2025-10-13,0
19,73.27,1289.35,C13,standard,0,2021-05-13,0
60,36.81,2114.36,C15,standard,1,2022-04-25,0
19,89.69,1801.04,C07,basic,2,2022-07-25,1
32,141.56,4462.31,C12,basic,0,2022-02-26,0
24,104.41,2515.21,C29,enterprise,1,2026-02-10,0
14,32.82,402.21,C14,basic,5,2020-12-25,0
16,73.97,1157.9,C13,basic,3,2022-08-13,0
17,59.16,951.94,C23,basic,1,2025-01-14,0
3,39.13,165.63,C07,basic,1,2021-06-21,0
60,141.05,8359.8,C10,standard,1,2023-03-17,0
27,120.12,3239.78,C01,basic,4,2020-11-27,0
6,130.15,726.95,C08,basic,2,2020-09-24,0
2,86.42,116.64,C24,basic,2,2023-07-05,0
42,63.44,2701.68,C02,enterprise,2,2024-09-18,0
9,115.88,993.71,C13,basic,2,2025-11-19,0
56,139.7,7814.21,C00,basic,1,2020-10-18,0
51,113.53,5810.32,C07,premium,0,2020-09-18,0
71,67.45,4789.75,C10,premium,2,2022-08-03,0
46,71.21,3305.32,C06,standard,1,2021-06-09,0
59,119.26,7086.45,C26,basic,1,2024-12-01,0
25,142.69,3577.16,C21,basic,1,2025-04-24,0
32,147.37,4696.9,C00,basic,3,2026-01-08,0
