sq_ft,bedrooms,bathrooms,age_years,neighborhood,lot_size,price
828,3,2,47,uptown,6397,423518
2240,4,3,10,downtown,6123,844711
1529,3,2,71,rural,10746,316646
1159,3,3,18,uptown,6552,542825
1252,3,2,23,downtown,1000,487633
1879,4,4,56,downtown,14703,769311
739,4,3,70,rural,5447,177396
2685,2,1,67,suburb,5042,710162
1698,4,4,16,suburb,7534,526692
1826,3,3,77,rural,6799,315368
2428,2,2,12,uptown,8955,1077322
1350,4,3,42,rural,6740,242728
1835,4,3,3,uptown,8461,935377
1747,3,3,76,waterfront,4147,1401547
2086,3,3,70,waterfront,1000,1624198
3265,2,1,39,suburb,7596,880548
1139,2,1,89,suburb,3326,264306
1757,3,2,16,uptown,1748,776970
3068,4,3,1,suburb,6923,866539
1258,4,4,43,uptown,6845,577179
2767,3,3,18,suburb,7918,730507
1846,3,3,84,downtown,9644,708816
2417,3,2,27,suburb,5905,697101
2136,1,1,27,suburb,1623,532374
1990,4,4,2,downtown,8793,821565
1265,4,4,3,waterfront,8296,1145319
1710,3,3,5,suburb,3258,472932
2210,2,1,68,downtown,12118,829241
1568,5,4,56,suburb,4024,434415
1148,3,2,98,downtown,9494,472841
1211,3,2,84,suburb,8572,365313
2648,3,2,97,rural,3452,405259
2757,3,3,50,rural,5024,429366
1368,1,1,92,suburb,8302,411781
1787,2,2,38,rural,9615,347911
2545,4,3,2,suburb,4376,708898
1975,5,5,38,downtown,4536,784913
1840,3,3,11,suburb,2646,528521
2170,2,2,83,downtown,10339,813969
1135,3,3,71,downtown,9156,481656
1389,2,2,67,downtown,6132,568162
2259,1,1,95,suburb,2617,554667
1921,4,4,70,suburb,5962,530766
2077,3,2,31,suburb,6461,558398
1855,3,3,4,uptown,7909,850553
1026,4,4,22,suburb,1043,282140
2054,3,3,60,uptown,8600,917604
2579,3,2,45,waterfront,5639,2082819
2110,3,2,14,suburb,9414,619490
2240,2,1,92,downtown,8142,809578
1237,4,3,59,downtown,3406,444150
1650,4,4,87,uptown,6472,700094
1528,4,4,72,rural,5009,299305
1497,3,2,49,suburb,7032,451939
1429,4,4,94,rural,4003,232210
2156,4,3,31,downtown,5088,822973
2132,4,4,70,uptown,5009,947645
2308,4,3,55,rural,1066,384952
2882,3,2,14,suburb,7843,3732368
1905,3,3,48,rural,12102,387887
2082,3,2,14,suburb,5214,575014
1909,3,2,73,suburb,7756,508954
833,5,5,92,suburb,5262,271957
1165,2,2,41,downtown,1000,460658
2082,3,3,79,rural,3553,1952120
1538,5,5,66,waterfront,11313,1364576
1771,1,1,68,suburb,13070,546529
946,2,2,7,downtown,6467,402330
1974,4,3,67,rural,3977,287212
1623,3,3,7,suburb,8876,493930
1913,2,2,55,downtown,3683,716235
1916,3,2,67,suburb,7346,525910
826,3,3,26,downtown,6525,391716
2462,2,1,8,uptown,4163,1061265
1041,3,2,82,suburb,8276,324150
1621,4,4,26,rural,6305,310422
1524,4,3,89,downtown,11725,602316
2420,3,2,91,downtown,9878,921689
1866,2,1,64,uptown,6731,835158
2378,3,2,74,suburb,2618,569898
1924,3,2,68,rural,3544,327842
1787,3,2,75,downtown,9669,693391
1318,1,1,93,suburb,8898,374258
1519,3,3,14,uptown,3110,711851
1824,2,2,24,downtown,6652,708364
1956,1,1,64,suburb,4184,521775
1416,5,4,78,suburb,3074,380614
2646,5,5,53,suburb,1361,728682
1983,2,2,3,downtown,6077,712160
1136,3,2,9,rural,6333,245646
2694,4,3,67,downtown,5296,976219
791,3,3,71,suburb,2733,216960
2039,3,2,34,suburb,7335,617105
1475,4,4,90,waterfront,4770,4460434
2746,4,4,52,uptown,8544,1267775
2303,3,3,20,suburb,7137,662759
1103,3,3,89,uptown,5127,442995
2405,2,1,50,suburb,9200,3135284
591,3,3,13,downtown,4245,277794
2303,3,2,94,suburb,4396,575977
1775,3,2,81,downtown,6656,647203
1256,2,1,16,suburb,8700,437509
2391,3,2,62,suburb,5932,670736
2268,2,1,64,suburb,6835,592847
1918,3,3,39,suburb,7297,574757
1974,4,3,93,suburb,5524,541048
2045,2,2,81,suburb,7263,544581
1590,3,3,41,uptown,7154,721457
2139,3,3,35,suburb,1471,567063
685,2,2,99,suburb,10399,215667
500,2,2,67,suburb,10843,150528
2081,3,2,92,suburb,6955,553200
2035,3,2,35,rural,9608,436731
1401,1,1,53,rural,6933,216570
1154,3,2,87,suburb,8894,355034
2594,3,3,10,downtown,9523,1037080
1493,4,3,11,uptown,5298,696069
1439,3,2,14,rural,7941,321238
1220,5,4,87,downtown,10684,571723
2280,1,1,84,suburb,9815,621847
500,3,2,42,suburb,11152,227024
1687,3,2,35,rural,10930,354207
1371,4,3,5,waterfront,8378,1233835
1714,4,4,7,suburb,3788,517776
2201,3,2,0,rural,8436,446165
1508,3,3,79,uptown,9359,684544
1634,3,3,76,suburb,9178,464820
678,2,1,3,rural,4861,182249
1471,1,1,71,downtown,8865,612312
1166,4,3,11,suburb,4962,403094
1939,4,3,19,suburb,8797,610679
1658,2,2,56,suburb,12395,486705
1535,3,2,44,suburb,3763,435822
1894,1,1,56,rural,5407,292398
1260,3,2,9,suburb,6817,430415
1119,3,3,74,rural,10481,234619
500,3,2,68,suburb,16434,196965
1754,3,3,70,suburb,8053,565089
1795,2,2,64,suburb,6919,502203
1762,4,4,36,suburb,6128,515451
1446,4,4,48,rural,1011,260735
2421,2,1,14,uptown,6565,1040478
1346,2,2,88,downtown,7025,491647
2865,4,4,77,downtown,10694,1070301
1621,2,1,30,downtown,1000,554798
1299,4,4,92,downtown,6310,482675
1555,4,4,12,suburb,7209,510163
1747,3,3,93,rural,2807,272191
2019,5,4,48,suburb,10254,616779
2916,2,2,5,suburb,7036,792306
1873,3,2,14,uptown,8334,867547
2217,2,2,71,uptown,6062,951083
